,FID,pkey,taelle_id,vejnavn,straekning,lovlig_p_kl_12,parkerede_biler_kl_12,belaegning_kl_12_pct,lovlig_p_kl_17,parkerede_biler_kl_17,belaegning_kl_17_pct,lovlig_p_kl_22,parkerede_biler_kl_22,belaegning_kl_22_pct,bemaerkning,kategori,aar_mnd,vej_id,fra_m,til_m,omraade,id,ogc_fid,wkb_geometry,lng,lat,year,month
0,taelling_p_pladser.1,1,2,Dyrkøb,,41,40.0,98.0,41,32.0,78.0,41,24.0,59.0,indhegnet arbejdsplads optog 10 P,,201609,1011396000000,0.0,115.0,1.0,1,1,"MULTILINESTRING ((12.573769564824445 55.6793201903947, 12.573664593749625 55.67929917900959, 12.572916898811322 55.67914950675529, 12.572210072545897 55.679011254788406, 12.57204462805456 55.67897889811058))",12.573769564824445,55.6793201903947 ,2016,09
1,taelling_p_pladser.2,2,2,Dyrkøb,,41,45.0,110.0,41,36.0,88.0,41,35.0,85.0,,,201303,1011396000000,0.0,115.0,1.0,1,2,"MULTILINESTRING ((12.573769564824445 55.6793201903947, 12.573664593749625 55.67929917900959, 12.572916898811322 55.67914950675529, 12.572210072545897 55.679011254788406, 12.57204462805456 55.67897889811058))",12.573769564824445,55.6793201903947 ,2013,03
2,taelling_p_pladser.3,3,2,Dyrkøb,,43,46.0,107.0,43,43.0,100.0,43,29.0,67.0,,,201203,1011396000000,0.0,115.0,1.0,1,3,"MULTILINESTRING ((12.573769564824445 55.6793201903947, 12.573664593749625 55.67929917900959, 12.572916898811322 55.67914950675529, 12.572210072545897 55.679011254788406, 12.57204462805456 55.67897889811058))",12.573769564824445,55.6793201903947 ,2012,03
3,taelling_p_pladser.4,4,2,Dyrkøb,,41,44.0,107.0,41,44.0,107.0,41,37.0,90.0,,,201403,1011396000000,0.0,115.0,1.0,1,4,"MULTILINESTRING ((12.573769564824445 55.6793201903947, 12.573664593749625 55.67929917900959, 12.572916898811322 55.67914950675529, 12.572210072545897 55.679011254788406, 12.57204462805456 55.67897889811058))",12.573769564824445,55.6793201903947 ,2014,03
4,taelling_p_pladser.5,5,2,Dyrkøb,,41,40.0,98.0,41,20.0,49.0,41,18.0,44.0,Ca. 10 P spærret af Indhegnet byggeplads,,201603,1011396000000,0.0,115.0,1.0,1,5,"MULTILINESTRING ((12.573769564824445 55.6793201903947, 12.573664593749625 55.67929917900959, 12.572916898811322 55.67914950675529, 12.572210072545897 55.679011254788406, 12.57204462805456 55.67897889811058))",12.573769564824445,55.6793201903947 ,2016,03
